tournament,eventName,player1,player2,player1_odds,player2_odds,eventdate,lastupdate
Promotions,ATP 2023 vs Season Specials,,,,,,
Promotions,Carlos Alcaraz Season 2023 Specials,,,,,,
Promotions,Holger Rune vs Season Specials 2023,,,,,,
Promotions,WTA 2023 vs Season Specials,,,,,,
ITF Men,Alejandro Hoyos Franco (COL) vs Darian King (BAR),Alejandro Hoyos Franco (COL),Darian King (BAR),4.2,1.17,2022-12-01 13:45,2022-12-01 13:45
ITF Men,Noah Schachter (USA) vs Liam Draxl (CAN),Noah Schachter (USA),Liam Draxl (CAN),5.25,1.11,2022-12-01 13:45,2022-12-01 13:45
ITF Men,Nick Hardt (DOM) vs Marko Stakusic (CAN),Nick Hardt (DOM),Marko Stakusic (CAN),1.04,8.0,2022-12-01 15:45,2022-12-01 15:45
ITF Men,Andrei Duarte (COL) vs Peter Bertran (DOM),Andrei Duarte (COL),Peter Bertran (DOM),5.5,1.1,2022-12-01 17:45,2022-12-01 17:45
ITF Men,A. Jones/S. Liokossis vs J. Flores/J. Sheehy,A. Jones/S. Liokossis,J. Flores/J. Sheehy,6.75,1.05,2022-12-01 17:45,2022-12-01 17:45
ITF Men,F. Boscarino/M. Greschner vs D. King/X. Lawrence,F. Boscarino/M. Greschner,D. King/X. Lawrence,2.9,1.33,2022-12-01 17:45,2022-12-01 17:45
ITF Men,J. Chin/M. Jones vs M. FostervsEstwick/J. A. Rodriguez Rodriguez,J. Chin/M. Jones,M. Foster-Estwick/J. A. Rodriguez Rodriguez,1.8,1.83,2022-12-01 19:45,2022-12-01 19:45
ITF Men,T. Hilderbrand/N. Schachter vs N. Hardt/E. A. Segarelli,T. Hilderbrand/N. Schachter,N. Hardt/E. A. Segarelli,1.08,5.75,2022-12-01 19:45,2022-12-01 19:45
ITF Men,Marek Gengel (CZE) vs Jan Kupcic (SLO),Marek Gengel (CZE),Jan Kupcic (SLO),1.14,4.75,2022-12-01 13:15,2022-12-01 13:15
ITF Men,D. Rincon/D. Vallejo vs S. Parker/A. Setkic,D. Rincon/D. Vallejo,S. Parker/A. Setkic,1.78,1.85,2022-12-01 15:15,2022-12-01 15:15
ITF Men,J. Barnat/M. Vrbensky vs S. Kyjaci/T. Lanik,J. Barnat/M. Vrbensky,S. Kyjaci/T. Lanik,1.08,5.75,2022-12-01 15:15,2022-12-01 15:15
ITF Men,S. Kopp/K. Lemstra vs M. Hermans/M. Veldheer,S. Kopp/K. Lemstra,M. Hermans/M. Veldheer,1.65,2.05,2022-12-01 15:15,2022-12-01 15:15
ITF Men,Lucio Carnevalle (ARG) vs Mateus Alves (BRA),Lucio Carnevalle (ARG),Mateus Alves (BRA),6.25,1.08,2022-12-01 14:15,2022-12-01 14:15
ITF Men,Gabriel Schenekenberg (BRA) vs Joao Victor Couto Loureiro (BRA),Gabriel Schenekenberg (BRA),Joao Victor Couto Loureiro (BRA),5.75,1.09,2022-12-01 16:15,2022-12-01 16:15
ITF Men,Hernando Jose Escurra Isnardi (PAR) vs Gonzalo Lama (CHI),Hernando Jose Escurra Isnardi (PAR),Gonzalo Lama (CHI),7.75,1.04,2022-12-01 16:15,2022-12-01 16:15
ITF Men,Gustavo Heide (BRA) vs Franco Roncadelli (URU),Gustavo Heide (BRA),Franco Roncadelli (URU),1.17,4.2,2022-12-01 16:15,2022-12-01 16:15
ITF Men,Orlando Luz (BRA) vs Igor Gimenez (BRA),Orlando Luz (BRA),Igor Gimenez (BRA),1.09,5.75,2022-12-01 18:15,2022-12-01 18:15
ITF Men,Lorenzo Joaquin Rodriguez (ARG) vs Marcelo Zormann (BRA),Lorenzo Joaquin Rodriguez (ARG),Marcelo Zormann (BRA),1.48,2.4,2022-12-01 18:15,2022-12-01 18:15
ITF Men,Eduardo Ribeiro (BRA) vs Fernando Yamacita (BRA),Eduardo Ribeiro (BRA),Fernando Yamacita (BRA),1.15,4.5,2022-12-01 21:15,2022-12-01 21:15
ITF Men,V. M. Alves/M. Cury Bueres vs M. Alves/G. Roveri Sidney,V. M. Alves/M. Cury Bueres,M. Alves/G. Roveri Sidney,6.75,1.05,2022-12-01 18:15,2022-12-01 18:15
ITF Men,R. Augusto dos Santos/N. Oliveira vs J. V. Couto Loureiro/G. Heide,R. Augusto dos Santos/N. Oliveira,J. V. Couto Loureiro/G. Heide,6.75,1.05,2022-12-01 21:15,2022-12-01 21:15
ITF Men,O. Luz/M. Zormann vs L. Carnevalle/F. Mirgone,O. Luz/M. Zormann,L. Carnevalle/F. Mirgone,1.07,6.0,2022-12-01 23:15,2022-12-01 23:15
ITF Men,I. Gimenez/G. Lomakin vs L. Pinto/P. A. Saraiva Dos Santos,I. Gimenez/G. Lomakin,L. Pinto/P. A. Saraiva Dos Santos,1.15,4.33,2022-12-01 23:15,2022-12-01 23:15
ITF Women,Georgia Gulin (BRA) vs Josefina Estevez (ARG),Georgia Gulin (BRA),Josefina Estevez (ARG),1.72,1.95,2022-12-01 14:15,2022-12-01 14:15
ITF Women,Ilaria Sposetti (ITA) vs Valentina Mutilba (ARG),Ilaria Sposetti (ITA),Valentina Mutilba (ARG),2.9,1.34,2022-12-01 14:15,2022-12-01 14:15
ITF Women,Rocio Daniela Merlo (ARG) vs Lourdes Ayala (ARG),Rocio Daniela Merlo (ARG),Lourdes Ayala (ARG),5.25,1.11,2022-12-01 14:15,2022-12-01 14:15
ITF Women,Luisa Meyer auf der Heide (GER) vs Marina Bulbarella (ARG),Luisa Meyer auf der Heide (GER),Marina Bulbarella (ARG),1.05,7.25,2022-12-01 16:15,2022-12-01 16:15
ITF Women,M. Gomez Pezuela Cano/M. V. Marchesini vs G. Arangio/J. Keranovic,M. Gomez Pezuela Cano/M. V. Marchesini,G. Arangio/J. Keranovic,1.25,3.3,2022-12-01 16:15,2022-12-01 16:15
ITF Women,L. Blatter/V. Mutilba vs L. Ayala/A. Vangelova,L. Blatter/V. Mutilba,L. Ayala/A. Vangelova,2.85,1.33,2022-12-01 18:15,2022-12-01 18:15
ITF Women,Oceane Babel (FRA) vs Chanel Janssen (NED),Oceane Babel (FRA),Chanel Janssen (NED),1.08,6.25,2022-12-01 14:15,2022-12-01 14:15
ITF Women,Matilde Jorge (POR) vs Tilde Stromquist (SWE),Matilde Jorge (POR),Tilde Stromquist (SWE),1.44,2.55,2022-12-01 16:15,2022-12-01 16:15
