tournament,eventName,player1,player2,player1_odds,player2_odds,eventdate,lastupdate
Promotions,ATP 2023 vs Season Specials,,,,,,
Promotions,Carlos Alcaraz Season 2023 Specials,,,,,,
Promotions,Holger Rune vs Season Specials 2023,,,,,,
Promotions,WTA 2023 vs Season Specials,,,,,,
Promotions,British Players vs Season Specials 2023,,,,,,
ITF Men,E. Noskin/E. Philippov vs I. Beloborodko/M. Shin,E. Noskin/E. Philippov,I. Beloborodko/M. Shin,3.0,1.3,2022-12-01 11:15,2022-12-01 11:15
ITF Men,D. Amirov/S. Pogosian vs S. Agabigun/S. M. Ozdemir,D. Amirov/S. Pogosian,S. Agabigun/S. M. Ozdemir,6.0,1.07,2022-12-01 11:15,2022-12-01 11:15
ITF Men,Nick Hardt (DOM) vs Kenta Miyoshi (JPN),Nick Hardt (DOM),Kenta Miyoshi (JPN),1.05,7.25,2022-11-30 17:45,2022-11-30 17:45
ITF Men,Tauheed Browning (USA) vs Victor Lilov (USA),Tauheed Browning (USA),Victor Lilov (USA),4.33,1.17,2022-11-30 17:45,2022-11-30 17:45
ITF Men,Miguel Angel Cabrera (CHI) vs Guy Den Ouden (NED),Miguel Angel Cabrera (CHI),Guy Den Ouden (NED),8.0,1.04,2022-11-30 17:45,2022-11-30 17:45
ITF Men,J. Chin/M. Jones vs M. FostervsEstwick/J. A. Rodriguez Rodriguez,J. Chin/M. Jones,M. Foster-Estwick/J. A. Rodriguez Rodriguez,2.1,1.6,2022-11-30 19:45,2022-11-30 19:45
ITF Men,A. Jones/S. Liokossis vs J. Flores/J. Sheehy,A. Jones/S. Liokossis,J. Flores/J. Sheehy,6.75,1.05,2022-11-30 19:45,2022-11-30 19:45
ITF Men,Y. Jeong/T.vsW. Lee vs A. Binda/I. Simakin,Y. Jeong/T.-W. Lee,A. Binda/I. Simakin,1.36,2.75,2022-12-01 12:15,2022-12-01 12:15
ITF Men,Yeongseok Jeong (KOR) vs Kris Van Wyk (RSA),Yeongseok Jeong (KOR),Kris Van Wyk (RSA),2.15,1.6,2022-12-01 08:15,2022-12-01 08:15
ITF Men,Ilia Simakin (RUS) vs Saba Purtseladze (GEO),Ilia Simakin (RUS),Saba Purtseladze (GEO),2.2,1.57,2022-12-01 08:15,2022-12-01 08:15
ITF Men,Lukas Krainer (AUT) vs Maxim Zhukov (RUS),Lukas Krainer (AUT),Maxim Zhukov (RUS),1.16,4.4,2022-12-01 10:15,2022-12-01 10:15
ITF Men,Michal Mikula (POL) vs Vojtech Petr (CZE),Michal Mikula (POL),Vojtech Petr (CZE),1.16,4.4,2022-12-01 10:15,2022-12-01 10:15
ITF Men,Marcelo Zormann (BRA) vs Nicolas Zanellato (BRA),Marcelo Zormann (BRA),Nicolas Zanellato (BRA),1.62,2.1,2022-11-30 21:15,2022-11-30 21:15
ITF Men,I. Gimenez/G. Lomakin vs J. E. Schiessl/V. Tosetto,I. Gimenez/G. Lomakin,J. E. Schiessl/V. Tosetto,1.2,3.75,2022-11-30 19:15,2022-11-30 19:15
ITF Men,E. Bogo/H. J. Escurra Isnardi vs J. V. Couto Loureiro/G. Heide,E. Bogo/H. J. Escurra Isnardi,J. V. Couto Loureiro/G. Heide,5.75,1.08,2022-11-30 19:15,2022-11-30 19:15
ITF Men,R. Augusto dos Santos/N. Oliveira vs G. P. Tumasonis/F. Yamacita,R. Augusto dos Santos/N. Oliveira,G. P. Tumasonis/F. Yamacita,7.0,1.05,2022-11-30 19:15,2022-11-30 19:15
ITF Men,V. M. Alves/M. Cury Bueres vs P. Boscardin Dias/E. Ribeiro,V. M. Alves/M. Cury Bueres,P. Boscardin Dias/E. Ribeiro,6.0,1.07,2022-11-30 23:15,2022-11-30 23:15
