,tournament,eventName,player1,player2,player1_odds,player2_odds,eventdate,lastupdate
53,ITF Men,Stefano Battaglino (ITA) vs Jasza Szajrych (POL),Stefano Battaglino (ITA),Jasza Szajrych (POL),1.65,2.05,2022-11-30 08:45,2022-11-30 08:45
54,ITF Men,Dino Prizmic (CRO) vs Pierre Delage (FRA),Dino Prizmic (CRO),Pierre Delage (FRA),1.12,5.0,2022-11-30 08:45,2022-11-30 08:45
55,ITF Men,Marcel Politowicz (POL) vs Andrea Bacaloni (ITA),Marcel Politowicz (POL),Andrea Bacaloni (ITA),5.75,1.09,2022-11-30 08:45,2022-11-30 08:45
56,ITF Men,Stevan Popovic (GER) vs Devin Badenhorst (RSA),Stevan Popovic (GER),Devin Badenhorst (RSA),3.5,1.25,2022-11-30 08:45,2022-11-30 08:45
57,ITF Men,Wissam Abderrahman (TUN) vs Facundo Yunis (GER),Wissam Abderrahman (TUN),Facundo Yunis (GER),2.2,1.57,2022-11-30 10:45,2022-11-30 10:45
58,ITF Men,Jiri Jenicek (CZE) vs Matas Vasiliauskas (LTU),Jiri Jenicek (CZE),Matas Vasiliauskas (LTU),1.62,2.1,2022-11-30 10:45,2022-11-30 10:45
59,ITF Men,Niklas Waldner (AUT) vs Gabriele Camilli (ITA),Niklas Waldner (AUT),Gabriele Camilli (ITA),1.62,2.1,2022-11-30 10:45,2022-11-30 10:45
60,ITF Men,Neil Oberleitner (AUT) vs Lorenzo Claverie (ITA),Neil Oberleitner (AUT),Lorenzo Claverie (ITA),1.53,2.3,2022-11-30 10:45,2022-11-30 10:45
61,ITF Men,Alessandro Bellifemine (ITA) vs Gabriele Maria Noce (ITA),Alessandro Bellifemine (ITA),Gabriele Maria Noce (ITA),3.0,1.33,2022-11-30 10:45,2022-11-30 10:45
62,ITF Men,Sean Van Rensburg (AUS) vs Alexander Donski (BUL),Sean Van Rensburg (AUS),Alexander Donski (BUL),5.25,1.11,2022-11-30 10:45,2022-11-30 10:45
63,ITF Men,Taiyo Yamanaka (JPN) vs Aziz Ouakaa (TUN),Taiyo Yamanaka (JPN),Aziz Ouakaa (TUN),1.36,2.8,2022-11-30 12:45,2022-11-30 12:45
64,ITF Men,Denis Constantin Spiridon (ITA) vs Stefano Reitano (ITA),Denis Constantin Spiridon (ITA),Stefano Reitano (ITA),5.0,1.12,2022-11-30 12:45,2022-11-30 12:45
65,ITF Men,Constantin Bittoun Kouzmine (FRA) vs Maximus Jones (THA),Constantin Bittoun Kouzmine (FRA),Maximus Jones (THA),1.1,5.5,2022-11-30 12:45,2022-11-30 12:45
66,ITF Men,Yevhenii Bondarenko (UKR) vs Alexis Canter (GBR),Yevhenii Bondarenko (UKR),Alexis Canter (GBR),7.5,1.05,2022-11-30 12:45,2022-11-30 12:45
67,ITF Men,Dusan Obradovic (SRB) vs Aziz Dougaz (TUN),Dusan Obradovic (SRB),Aziz Dougaz (TUN),5.25,1.11,2022-11-30 12:45,2022-11-30 12:45
68,ITF Men,Lazar Milicevic (SRB) vs Arthur Bouquier (FRA),Lazar Milicevic (SRB),Arthur Bouquier (FRA),5.5,1.1,2022-11-30 12:45,2022-11-30 12:45
69,ITF Men,Ray Ho (TPE) vs Brian Bozemoj (NED),Ray Ho (TPE),Brian Bozemoj (NED),1.53,2.3,2022-11-30 12:45,2022-11-30 12:45
70,ITF Men,Mark Lajal (EST) vs Tom Evans (AUS),Mark Lajal (EST),Tom Evans (AUS),1.08,6.25,2022-11-30 14:45,2022-11-30 14:45
71,ITF Men,Omni Kumar (USA) vs Pablo Trochu (FRA),Omni Kumar (USA),Pablo Trochu (FRA),1.06,7.0,2022-11-30 14:45,2022-11-30 14:45
72,ITF Men,Noel Larwig (GER) vs Antoine Berger (FRA),Noel Larwig (GER),Antoine Berger (FRA),2.1,1.62,2022-11-30 14:45,2022-11-30 14:45
73,ITF Men,Alberto Morolli (ITA) vs Karol Tomanski (POL),Alberto Morolli (ITA),Karol Tomanski (POL),1.83,1.83,2022-11-30 14:45,2022-11-30 14:45
74,ITF Men,Jun Ha Hyun (KOR) vs Saba Purtseladze (GEO),Jun Ha Hyun (KOR),Saba Purtseladze (GEO),6.5,1.07,2022-11-30 08:15,2022-11-30 08:15
75,ITF Men,TaevsWoo Lee (KOR) vs Amr Elsayed (EGY),Tae-Woo Lee (KOR),Amr Elsayed (EGY),2.2,1.57,2022-11-30 10:15,2022-11-30 10:15
76,ITF Men,Simone Roncalli (ITA) vs Michal Mikula (POL),Simone Roncalli (ITA),Michal Mikula (POL),1.44,2.55,2022-11-30 10:15,2022-11-30 10:15
77,ITF Men,Lukas Krainer (AUT) vs Nicolas Kobelt (SUI),Lukas Krainer (AUT),Nicolas Kobelt (SUI),1.57,2.2,2022-11-30 10:15,2022-11-30 10:15
78,ITF Men,Dinko Dinev (BUL) vs Vojtech Petr (CZE),Dinko Dinev (BUL),Vojtech Petr (CZE),3.25,1.28,2022-11-30 10:15,2022-11-30 10:15
79,ITF Men,Robert Strombachs (GER) vs Faris Zakaryia (EGY),Robert Strombachs (GER),Faris Zakaryia (EGY),1.04,7.5,2022-11-30 12:15,2022-11-30 12:15
80,ITF Men,Nicolo Pozzani (ITA) vs Ilia Simakin (RUS),Nicolo Pozzani (ITA),Ilia Simakin (RUS),3.75,1.22,2022-11-30 12:15,2022-11-30 12:15
81,ITF Men,Filippo Speziali (ITA) vs Yeongseok Jeong (KOR),Filippo Speziali (ITA),Yeongseok Jeong (KOR),4.75,1.14,2022-11-30 12:15,2022-11-30 12:15
82,ITF Men,Bor Artnak (SLO) vs Sanhui Shin (KOR),Bor Artnak (SLO),Sanhui Shin (KOR),1.57,2.2,2022-11-30 14:15,2022-11-30 14:15
83,ITF Men,Gabriele Pennaforti (ITA) vs Carlo Alberto Fossati (ITA),Gabriele Pennaforti (ITA),Carlo Alberto Fossati (ITA),1.83,1.83,2022-11-30 14:15,2022-11-30 14:15
84,ITF Men,Mirza Basic (BIH) vs Stefanos Sakellaridis (GRE),Mirza Basic (BIH),Stefanos Sakellaridis (GRE),1.14,4.75,2022-11-30 09:15,2022-11-30 09:15
85,ITF Men,Daniel Paty (CZE) vs Michael Vrbenský (CZE),Daniel Paty (CZE),Michael Vrbenský (CZE),5.75,1.09,2022-11-30 09:15,2022-11-30 09:15
86,ITF Men,Kirill Kivattsev (RUS) vs Samuel Kyjaci (SVK),Kirill Kivattsev (RUS),Samuel Kyjaci (SVK),1.25,3.5,2022-11-30 11:15,2022-11-30 11:15
87,ITF Men,David Poljak (CZE) vs Tomas Lanik (SVK),David Poljak (CZE),Tomas Lanik (SVK),1.08,6.25,2022-11-30 11:15,2022-11-30 11:15
